dtr;eTo
2022-01-22;8655.90
2022-01-22;4820.29
2022-01-23;2291.35
2022-01-24;7291.35
2022-01-24;12291.35
2022-01-24;7687.60
2022-01-25;3935.65
2022-01-26;8935.65
2022-01-26;4908.16
2022-01-27;9908.16
2022-01-27;5515.05
2022-01-28;10515.05
2022-01-28;5966.89
2022-01-29;10966.89
2022-01-29;7501.06
2022-01-30;4546.05
2022-01-31;9546.05
2022-01-31;4601.71
2022-02-01;9601.71
2022-02-01;5400.96
2022-02-02;10400.96
2022-02-02;6058.05
2022-02-03;11058.05
2022-02-03;6923.52
2022-02-04;11923.52
2022-02-04;6425.90
2022-02-05;11425.90
2022-02-05;7417.38
2022-02-06;4307.33
2022-02-07;9307.33
2022-02-07;4389.68
2022-02-08;9389.68
2022-02-08;4656.42
2022-02-09;9656.42
2022-02-09;5295.81
2022-02-10;10295.81
2022-02-10;5190.58
2022-02-11;10190.58
2022-02-11;4635.15
2022-02-12;9635.15
2022-02-12;14635.15
2022-02-12;10279.41
2022-02-13;6675.21
2022-02-14;11675.21
2022-02-14;6623.49
2022-02-15;11623.49
2022-02-15;6774.34
2022-02-16;11774.34
2022-02-16;6798.69
2022-02-17;11798.69
2022-02-17;6643.30
2022-02-18;11643.30
2022-02-18;5892.26
2022-02-19;15892.26
2022-02-19;11556.15
2022-02-20;7823.84
2022-02-21;12823.84
2022-02-21;7286.92
2022-02-22;12286.92
2022-02-22;17286.92
2022-02-22;11882.71
2022-02-23;7491.69
2022-02-24;12491.69
2022-02-24;7397.38
2022-02-25;12397.38
2022-02-25;4727.14
2022-02-26;14727.14
2022-02-26;8835.71
2022-02-27;5871.72
2022-02-28;15871.72
2022-02-28;12743.36
2022-03-01;9716.21
2022-03-02;14716.21
2022-03-02;10647.50
2022-03-03;5031.44
2022-03-04;15031.44
2022-03-04;20031.44
2022-03-04;13935.28
2022-03-05;18935.28
2022-03-05;23935.28
2022-03-05;19271.70
2022-03-06;15894.39
2022-03-07;25894.39
2022-03-07;20550.13
2022-03-08;15169.26
2022-03-09;30169.26
2022-03-09;24293.31
2022-03-10;11674.91
2022-03-11;6622.42
2022-03-12;11622.42
2022-03-12;8599.14
2022-03-13;6312.00
2022-03-14;2927.44
2022-03-15;7927.44
2022-03-15;4824.07
2022-03-16;9824.07
2022-03-16;6664.09
2022-03-17;3998.67
2022-03-18;8998.67
2022-03-18;3607.06
2022-03-19;13607.06
2022-03-19;9760.83
2022-03-20;6661.72
2022-03-21;11661.72
2022-03-21;7234.14
2022-03-22;2696.22
2022-03-23;7696.22
2022-03-23;3243.53
2022-03-24;8243.53
2022-03-24;3559.67
2022-03-25;8559.67
2022-03-25;2557.13
2022-03-26;12557.13
2022-03-26;17557.13
2022-03-26;13303.33
2022-03-27;10271.34
2022-03-28;20271.34
2022-03-28;15579.18
2022-03-29;11206.09
2022-03-30;6447.30
2022-03-31;11447.30
2022-03-31;5456.67
2022-04-01;10456.67
2022-04-01;4901.07
2022-04-02;14901.07
2022-04-02;11201.38
2022-04-03;7908.19
2022-04-04;12908.19
2022-04-04;8540.87
2022-04-05;13540.87
2022-04-05;8998.51
2022-04-06;13998.51
2022-04-06;10465.91
2022-04-07;6767.59
2022-04-08;11767.59
2022-04-08;6971.71
2022-04-09;11971.71
2022-04-09;8842.74
2022-04-10;5655.57
2022-04-11;10655.57
2022-04-11;6753.13
2022-04-12;11753.13
2022-04-12;8152.43
2022-04-13;13152.43
2022-04-13;8109.08
2022-04-14;18109.08
2022-04-14;10914.47
2022-04-15;7051.17
2022-04-16;12051.17
2022-04-16;17051.17
2022-04-16;14354.64
2022-04-17;11507.91
2022-04-18;21507.91
2022-04-18;17238.72
2022-04-19;13684.89
2022-04-20;18684.89
2022-04-20;13924.64
2022-04-21;9538.00
