eTo;eTo
"2022.122";6597.723
"2022.122";4639.113
"2022.123";2685.473
"2022.124";703.113
"2022.125";5703.113
"2022.125";3686.623
"2022.126";1307.923
"2022.127";6307.923
"2022.127";4238.613
"2022.128";9238.613
"2022.128";6750.323
"2022.129";4833.123
"2022.130";3476.213
"2022.131";8476.213
"2022.131";6462.683
"2022.201";4309.333
"2022.202";2469.023
"2022.203";7469.023
"2022.203";4899.143
"2022.204";1277.283
"2022.205";6277.283
"2022.205";3305.183
"2022.206";1535.763
"2022.207";6535.763
"2022.207";2899.263
"2022.208";7899.263
"2022.208";4782.733
"2022.209";9782.733
"2022.209";7073.483
"2022.210";4651.993
"2022.211";9651.993
"2022.211";7228.243
"2022.212";12228.243
"2022.212";9657.773
"2022.213";8183.013
"2022.214";5436.233
"2022.215";2519.633
"2022.216";7519.633
"2022.216";5173.463
"2022.217";10173.463
"2022.217";7393.643
"2022.218";3296.443
"2022.219";13296.443
"2022.219";10901.953
"2022.220";8417.293
"2022.221";13417.293
"2022.221";9617.343
"2022.222";6893.983
"2022.223";11893.983
"2022.223";9082.763
"2022.224";5919.143
"2022.225";10919.143
"2022.225";6643.553
"2022.226";11643.553
"2022.226";8540.013
"2022.227";6921.113
"2022.228";11921.113
"2022.228";9962.683
"2022.301";7703.133
"2022.302";5321.773
"2022.303";10321.773
"2022.303";7314.733
"2022.304";3540.563
"2022.305";8540.563
"2022.305";6080.243
"2022.306";3395.403
"2022.307";8395.403
"2022.307";28395.403
"2022.307";24743.533
"2022.308";21348.023
"2022.309";26348.023
"2022.309";23137.48
"2022.310";17598.42
"2022.311";11949.76
"2022.312";16949.76
"2022.312";26949.76
"2022.312";23575.05
"2022.313";20412.1
"2022.314";16163.26
"2022.315";26163.26
"2022.315";22616.83
"2022.316";19745.88
"2022.317";15864.44
"2022.318";10772.16
"2022.319";15772.16
"2022.319";11959.5
"2022.320";8317.46
"2022.321";13317.46
"2022.321";8999.58
"2022.322";23999.58
"2022.322";20012.16
"2022.323";17789.64
"2022.324";14949.18
"2022.325";29949.18
"2022.325";25442.78
"2022.326";21316.74
"2022.327";17693.69
"2022.328";12858.31
"2022.329";7909.85
"2022.330";17909.85
"2022.330";13477.72
"2022.331";8488.19
"2022.401";2267.39
"2022.402";17267.39
"2022.402";12788.31
"2022.403";9578.11
"2022.404";14578.11
"2022.404";19578.11
"2022.404";24578.11
"2022.404";19882.46
"2022.405";24882.46
"2022.405";29882.46
"2022.405";25954.38
"2022.406";23291.86
"2022.407";19980.91
"2022.408";24980.91
"2022.408";29980.91
"2022.408";26241.63
"2022.409";31241.63
"2022.409";29096.71
"2022.410";26825.89
"2022.411";31825.89
"2022.411";28278.74
"2022.412";25494.38
"2022.413";22330.72
"2022.414";18313.89
"2022.415";28313.89
"2022.415";26383.5
"2022.416";31383.5
"2022.416";29168.06
"2022.417";27474.2
"2022.418";24147.24
"2022.419";21771.27
"2022.420";18644.87
"2022.421";16570
